流水號,料號,長度,管徑
876,4,741,1
876,5,2887,1
876,6,404,1
876,7,1968,1
877,1,563,1
877,2,3449,1
877,3,4204,1
877,4,480,1
877,5,3468,1
878,1,563,1
878,2,1259,1
878,3,487,1
878,4,6000,1
878,5,791,1
878,6,869,1
879,1,1525,1
879,2,654,1
879,3,1659,1
879,4,6000,1
879,5,6000,1
879,6,4438,1
879,7,269,1
880,1,735,1
880,2,2376,1
880,3,6000,1
880,4,1155,1
881,1,234,2
881,2,3253,2
881,3,1448,2
881,4,5661,2
881,5,6000,2
881,6,6000,2
881,7,6000,2
881,8,6000,2
881,9,5263,2
881,10,1030,2
882,1,6000,1
882,2,6000,1
882,3,209,1
882,4,304,1
882,5,6000,1
882,6,1321,1
882,7,3419,1
883,1,1468,1
883,2,454,1
883,3,2229,1
884,1,779,1
884,2,6000,1
884,3,2521,1
884,4,454,1
884,5,2229,1
885,1,532,1
885,2,154,1
885,3,567,1
885,4,4954,1
885,5,1373,1
885,6,158,1
886,1,754,1.5
886,2,6000,1.5
886,3,853,1.5
886,4,1630,1.5
886,5,303,1.5
886,6,100,1.5
886,7,99,1.5
887,1,414,1.5
887,2,100,1.5
887,3,100,0.75
887,4,6000,1.5
887,5,689,1.5
887,6,1802,1.5
887,7,203,1.5
887,8,100,1.5
887,9,99,1.5
888,1,920,1
888,2,488,1
888,3,4503,1
888,4,234,1
888,5,1975,1
889,1,234,2
889,2,2793,2
889,3,2556,2
889,4,730,2
889,5,75,0.75
889,6,75,0.75
889,7,75,0.75
889,8,1278,2
890,9,6000,2
890,10,1748,2
890,11,146,2
890,12,2162,2
890,13,632,2
890,14,5122,2
890,15,4772,2
891,16,4972,2
891,17,3477,2
891,18,1469,2
891,19,1363,2
891,20,6000,2
891,21,810,2
891,22,422,2
891,23,100,1
891,24,672,2
892,1,177,1
892,2,1654,1
892,3,630,1
892,4,2054,1
892,5,1569,1
893,1,177,1
893,2,2054,1
893,3,630,1
893,4,1534,1
894,1,1091,1
894,2,374,1
894,3,3854,1
894,4,193,1
894,5,2099,1
895,1,1056,1
895,2,554,1
895,3,3854,1
895,4,158,1
895,5,3044,1
896,1,1091,1
896,2,374,1
896,3,3854,1
896,4,193,1
896,5,2099,1
897,1,853,1
897,2,2054,1
897,3,1124,1
898,1,213,1
898,2,1189,1
898,3,2179,1
898,4,672,1
898,5,244,1
899,1,644,14
899,2,487,14
899,3,6000,14
899,4,6000,14
899,5,2213,14
899,6,6000,14
899,7,6000,14
899,8,6000,14
899,9,3819,14
899,10,884,14
900,11,6000,14
900,12,6000,14
900,13,6000,14
900,14,172,4
900,15,100,1
900,16,100,0.75
900,17,6000,14
900,18,634,14
900,19,884,14
901,20,6000,14
901,21,100,0.75
901,22,5834,14
901,23,884,14
901,24,6000,14
901,25,6000,14
901,26,6000,14
901,27,6000,14
901,28,6000,14
902,29,6000,14
902,30,100,0.75
902,31,172,4
902,32,100,1
902,33,1541,14
902,34,483,14
902,35,6000,14
902,36,6000,14
903,37,6000,14
903,38,6000,14
903,39,6000,14
903,40,3425,14
903,41,134,14
903,42,100,0.75
903,43,4081,14
903,44,6000,14
903,45,6000,14
903,46,5500,14
903,47,4421,14
904,1,200,1
904,2,549,1
904,3,851,1
904,4,2954,1
904,5,871,1
904,6,2238,1
905,1,200,1
905,2,549,1
905,3,734,1
905,4,2954,1
905,5,754,1
905,6,2238,1
906,1,553,4
906,2,150,4
906,3,222,4
906,4,6000,4
906,5,3457,4
907,6,186,4
907,7,4396,4
907,8,433,4
907,9,3010,4
907,10,3846,4
907,11,696,4
907,12,373,4
908,1,375,3
908,2,351,1.5
908,3,175,3
908,4,279,3
908,5,1138,3
908,6,1072,3
908,7,2722,3
908,8,467,3
909,1,647,6
909,2,381,4
909,3,4126,6
910,4,6000,6
910,5,6000,6
910,6,2242,6
910,7,3350,6
910,8,3692,6
910,9,539,6
910,10,319,6
911,1,538,1.5
911,2,368,1.5
911,3,802,3
911,4,871,3
911,5,847,3
911,6,772,3
911,7,410,3
912,1,4045,8
912,2,4517,8
912,3,4021,8
913,4,299,8
913,5,1922,8
913,6,142,8
913,7,3691,8
913,8,867,8
913,9,395,8
914,1,301,12
914,2,338,12
914,3,1709,12
914,4,1951,12
916,1,1021,4
916,2,1261,4
916,3,491,4
917,1,74,4
917,2,100,1
917,3,200,4
917,4,100,0.5
917,5,300,4
917,6,926,3
918,7,131,0.75
918,8,277,4
919,9,926,3
919,10,883,3
919,11,400,4
919,12,233,4
920,1,200,4
920,2,100,4
920,3,100,1
920,4,862,4
920,5,423,4
921,1,493,4
921,2,941,4
921,3,4396,4
921,4,3367,4
921,5,6000,4
921,6,6000,4
922,7,570,4
922,8,3583,4
922,9,934,4
922,10,114,3
922,11,435,3
922,12,217,3
923,13,2798,4
923,14,493,4
923,15,6000,4
923,16,100,0.75
923,17,3743,4
923,18,446,4
923,19,6000,4
923,20,6000,4
924,21,6000,4
924,22,100,0.75
924,23,6000,4
924,24,91,4
924,25,1646,4
925,26,100,0.75
925,27,6000,4
925,28,6000,4
925,29,1596,4
925,30,1646,4
925,31,3193,4
926,32,6000,4
926,33,6000,4
926,34,100,0.75
926,35,6000,4
926,36,1193,4
926,37,820,3
926,38,4407,3
926,39,550,3
927,1,6000,3
927,2,6000,3
927,3,2620,3
927,4,613,2
927,5,5313,2
927,6,298,2
927,7,6000,2
928,8,3133,2
928,9,6000,2
928,10,6000,2
928,11,6000,2
929,12,6000,2
929,13,4067,2
929,14,100,1
929,15,1372,2
930,16,1563,3
930,17,6000,3
930,18,6000,3
930,19,4743,3
930,20,2685,3
930,21,1722,3
930,22,6000,3
930,23,6000,3
930,24,6000,3
931,25,4600,3
931,26,100,0.75
931,27,2700,3
931,28,1722,3
931,29,6000,3
932,30,100,0.75
932,31,6000,3
932,32,672,3
932,33,1722,3
932,34,250,3
932,35,6000,3
933,36,6000,3
933,37,6000,3
933,38,6000,3
933,39,6000,3
933,40,6000,3
933,41,100,0.75
933,42,2735,3
933,43,522,3
933,44,6000,3
933,45,6000,3
933,46,6000,3
933,47,6000,3
933,48,6000,3
933,49,5685,3
934,1,6000,1
934,2,3979,1
934,3,704,1
934,4,2659,1
934,5,2204,1
934,6,6000,1
934,7,6000,1
934,8,828,1
934,9,3117,1
934,10,100,1
934,11,100,1
934,12,250,1
935,1,913,2
935,2,1498,2
935,3,1048,2
935,4,4160,2
935,5,149,2
936,1,625,1.5
936,2,1336,1.5
936,3,400,1.5
936,4,100,1.5
937,1,4028,1.5
937,2,3686,1.5
937,3,3726,1.5
937,4,2386,1.5
937,5,686,1.5
937,6,325,1.5
937,7,1080,1.5
938,1,625,1.5
938,2,136,1.5
938,3,100,0.75
938,4,1686,1.5
938,5,1436,1.5
938,6,1936,1.5
938,7,100,0.75
938,8,2091,1.5
939,9,4186,1.5
939,10,2236,1.5
939,11,100,0.75
939,12,136,1.5
939,13,886,1.5
939,14,576,1.5
939,15,100,0.75
939,16,4586,1.5
940,17,886,1.5
940,18,731,1.5
940,19,100,0.75
940,20,4986,1.5
940,21,786,1.5
940,22,502,1.5
940,23,1620,1.5
940,24,100,1.5
941,1,2595,3
941,2,972,3
941,3,6000,3
941,4,6000,3
941,5,6000,3
941,6,1972,3
941,7,550,3
942,8,6000,3
942,9,1743,3
942,10,6000,3
942,11,6000,3
942,12,2813,3
942,13,584,2
942,14,2338,2
942,15,2553,2
942,16,1544,3
943,17,4950,3
943,18,2272,3
943,19,6000,3
943,20,2860,3
944,21,6000,3
944,22,6000,3
944,23,6000,3
944,24,6000,3
944,25,6000,3
945,26,1728,3
945,27,6000,3
945,28,100,1
945,29,3368,3
945,30,1044,3
946,1,606,1.5
946,2,1181,1.5
946,3,6000,1.5
946,4,657,1.5
946,5,128,1.5
947,1,606,1.5
947,2,1181,1.5
947,3,6000,1.5
947,4,657,1.5
947,5,128,1.5
948,1,1075,1.5
948,2,4387,1.5
948,3,6000,1.5
948,4,6000,1.5
948,5,5972,1.5
949,6,686,1.5
949,7,1571,1.5
949,8,6000,1.5
949,9,1307,1.5
949,10,128,1.5
950,1,902,1.5
950,2,1679,1.5
950,3,6000,1.5
950,4,1123,1.5
950,5,470,1.5
950,6,836,1.5
951,1,408,1.5
951,2,5086,1.5
951,3,1256,1.5
951,4,470,1.5
951,5,78,1.5
952,1,375,1.5
952,2,1845,1.5
952,3,6000,1.5
952,4,723,1.5
952,5,2262,1.5
952,6,286,1.5
952,7,1570,1.5
952,8,1136,1.5
952,9,78,1.5
953,1,552,1.5
953,2,3701,1.5
953,3,6000,1.5
953,4,1307,1.5
953,5,336,1.5
953,6,78,1.5
954,1,552,1.5
954,2,979,1.5
954,3,6000,1.5
954,4,773,1.5
954,5,470,1.5
954,6,694,1.5
954,7,411,1.5
954,8,78,1.5
955,1,1378,1.5
955,2,636,1.5
955,3,1611,1.5
955,4,6000,1.5
955,5,6000,1.5
955,6,5376,1.5
955,7,100,0.75
955,8,100,1.5
955,9,102,1.5
955,10,108,1.5
956,1,451,1.5
956,2,1795,1.5
956,3,6000,1.5
956,4,483,1.5
956,5,386,1.5
956,6,154,1.5
957,1,233,2
957,2,2683,2
957,3,1448,2
957,4,6000,2
957,5,5060,2
957,6,6000,2
957,7,6000,2
957,8,6000,2
957,9,6000,2
957,10,547,2
957,11,347,2
958,1,234,2
958,2,2298,2
958,3,2553,2
958,4,1450,2
958,5,75,0.75
958,6,75,0.75
958,7,75,0.75
958,8,1878,2
959,9,6000,2
959,10,2308,2
959,11,874,2
959,12,943,2
959,13,4872,2
959,14,6000,2
959,15,1001,2
960,16,2743,2
960,17,4872,2
960,18,2295,2
960,19,843,2
960,20,2500,2
960,21,100,1
960,22,672,2
961,1,168,1.5
961,2,2116,1.5
961,3,405,1.5
961,4,710,1.5
961,5,391,1.5
961,6,100,1.5
962,1,100,1.5
962,2,773,1.5
962,3,724,1.5
962,4,208,1.5
963,1,100,1.5
963,2,1476,1.5
963,3,454,1.5
964,1,100,1.5
964,2,616,1.5
964,3,1258,1.5
964,4,3286,1.5
964,5,1013,1.5
964,6,2065,1.5
964,7,208,1.5
965,1,100,1.5
965,2,1476,1.5
965,3,454,1.5
966,1,100,1.5
966,2,1346,1.5
966,3,454,1.5
967,1,300,3
968,1,206,3
968,2,122,3
970,1,100,1
970,2,100,1
978,1,400,1.5
978,2,100,1.5
978,3,100,1.5
984,1,162,1
984,2,273,1
992,1,150,2
993,1,150,2
1011,1,644,1.5
1011,2,148,1.5
1014,1,100,1
1014,2,150,1
1014,3,100,1
1022,1,100,1
1022,2,100,1
1039,1,100,1
1039,2,100,1
1041,1,100,1
1041,2,100,1
1043,1,100,1
1043,2,100,1
1045,1,100,1
1045,2,100,1
1047,1,100,1
1047,2,100,1
1049,1,100,1
1049,2,100,1
1053,1,1,1
1071,1,174,2
1071,2,269,2
1071,3,166,2
1072,4,166,2
1072,5,269,2
1072,6,174,2
1075,1,563,2
1075,2,400,2
1075,3,160,2
1076,4,160,2
1076,5,400,2
1076,6,563,2
1084,1,206,4
1084,2,529,6
1084,3,1021,6
1085,1,206,4
1085,2,529,6
1085,3,1021,6
1093,1,100,1
1093,2,100,1
1101,1,100,1
1101,2,100,1
1109,1,100,1
1109,2,100,1
1117,1,100,1
1117,2,100,1
1125,1,100,1
1125,2,100,1
1158,1,1542,1.5
1158,2,1291,1.5
1158,3,836,1.5
1158,4,1976,1.5
1158,5,100,1.5
1158,6,640,1.5
1159,7,100,1.5
1159,8,136,1.5
1159,9,100,0.75
1159,10,100,1.5
1159,11,150,1.5
1159,12,100,1.5
1160,1,640,1.5
1160,2,403,1.5
1160,3,2379,1.5
1160,4,1389,1.5
1161,1,187,4
1161,2,1633,4
1161,3,644,4
1161,4,1843,4
1161,5,446,4
1161,6,6000,4
1161,7,6000,4
1162,8,6000,4
1162,9,2056,4
1162,10,445,4
1162,11,101,0.75
1162,12,6000,4
1162,13,3503,4
1163,1,127,1
1163,2,173,1
1163,3,174,1
1163,4,100,1
1163,5,126,1
1164,6,454,2
1164,7,1008,2
1164,8,3348,2
1164,9,1748,2
1164,10,348,2
1164,11,2848,2
1164,12,2368,2
1164,13,612,2
1165,1,113,1
1165,2,234,1
1165,3,235,1
1165,4,100,1
1165,5,113,1
1165,6,200,3
1165,7,200,3
1166,8,161,3
1166,9,322,3
1166,10,3272,3
1166,11,772,3
1166,12,902,3
1166,13,6000,3
1166,14,2172,3
1167,15,2122,3
1167,16,6000,3
1167,17,6000,3
1167,18,6000,3
1167,19,6000,3
1167,20,6000,3
1167,21,300,3
1167,22,6000,3
1167,23,6000,3
1168,24,6000,3
1168,25,3520,3
1168,26,2272,3
1168,27,6000,3
1168,28,6000,3
1168,29,6000,3
1168,30,1552,3
1168,31,522,3
1168,32,6000,3
1168,33,6000,3
1168,34,6000,3
1168,35,2302,3
1168,36,972,3
1168,37,2874,3
1169,1,148,4
1169,2,143,4
1169,3,769,4
1169,4,176,4
1169,5,672,4
1169,6,176,4
1169,7,3321,4
1170,1,100,1
1170,2,266,1
1170,3,266,1
1170,4,100,1
1170,5,100,1
1170,6,200,4
1171,7,200,4
1171,8,1876,4
1171,9,206,4
1171,10,194,4
1171,11,2796,4
1171,12,1376,4
1171,13,493,4
1172,1,100,1
1172,2,234,1
1172,3,235,1
1172,4,100,1
1172,5,100,1
1172,6,200,3
1172,7,200,3
1173,8,215,3
1173,9,324,3
1173,10,5422,3
1173,11,1992,3
1173,12,536,3
1173,13,264,3
1173,14,5679,3
1173,15,551,3
1174,1,127,1
1174,2,173,1
1174,3,174,1
1174,4,100,1
1174,5,126,1
1174,6,654,2
1174,7,478,2
1175,8,4647,2
1175,9,2528,2
1175,10,1448,2
1175,11,328,2
1175,12,348,2
1176,13,6000,2
1176,14,6000,2
1176,15,6000,2
1176,16,1848,2
1176,17,348,2
1176,18,6000,2
1176,19,5590,2
1176,20,2080,2
1176,21,6000,2
1176,22,3518,2
1177,1,6000,2
1177,2,753,2
1177,3,2473,2
1177,4,610,2
1178,1,1730,2
1178,2,516,2
1178,3,127,1
1178,4,100,1
1178,5,174,1
1178,6,173,1
1178,7,126,1
1179,8,1814,4
1179,9,6000,4
1179,10,546,4
1179,11,1551,4
1179,12,146,4
1179,13,446,4
1179,14,6000,4
1180,15,6000,4
1180,16,4725,4
1180,17,100,0.75
1180,18,4066,4
1180,19,896,4
1180,20,6000,4
1180,21,6000,4
1180,22,6000,4
1180,23,6000,4
1180,24,6000,4
1180,25,5966,4
1180,26,493,4
1181,1,100,1
1181,2,234,1
1181,3,235,1
1181,4,100,1
1181,5,100,1
1181,6,200,3
1182,7,200,3
1182,8,161,3
1182,9,182,3
1182,10,4672,3
1182,11,1617,3
1182,12,172,3
1182,13,551,3
1183,1,100,1
1183,2,238,1
1183,3,235,1
1183,4,100,1
1183,5,100,1
1183,6,200,3
1183,7,200,3
1184,8,2115,3
1184,9,1072,3
1184,10,2772,3
1184,11,2027,3
1184,12,522,3
1184,13,3027,3
1185,14,522,3
1185,15,6000,3
1185,16,100,0.75
1185,17,3772,3
1185,18,522,3
1185,19,5317,3
1185,20,253,3
1185,21,188,3
1186,1,1215,3
1186,2,138,3
1186,3,449,3
1186,4,423,3
1186,5,801,2.5
1187,1,1800,3
1187,2,395,3
1187,3,801,2.5
1188,1,206,1
1188,2,235,1
1188,3,150,1
1188,4,223,3
1188,5,200,3
1188,6,100,1
1188,7,300,3
1189,8,570,3
1189,9,800,3
1189,10,1982,3
1189,11,772,3
1189,12,100,0.75
1189,13,1816,3
1190,14,585,3
1190,15,2148,3
1190,16,2722,3
1190,17,522,3
1190,18,6000,3
1190,19,622,3
1191,20,522,3
1191,21,100,0.75
1191,22,6000,3
1191,23,6000,3
1191,24,872,3
1191,25,522,3
1191,26,4021,3
1191,27,2222,3
1191,28,1372,3
1191,29,122,3
1191,30,1062,3
1192,1,206,1
1192,2,235,1
1192,3,150,1
1192,4,223,3
1193,5,200,3
1193,6,112,0.75
1193,7,300,3
1193,8,570,3
1193,9,772,3
1193,10,300,3
1193,11,1328,3
1195,1,998,2
1195,2,1063,2
1195,3,1126,2
1195,4,72,2
1195,5,775,2
1196,1,100,0.75
1196,2,6000,4
1196,3,6000,4
1196,4,6000,4
1196,5,6000,4
1196,6,6000,4
1196,7,910,4
1196,8,6000,4
1196,9,2393,4
1196,10,1646,4
1197,11,100,0.75
1197,12,6000,4
1197,13,6000,4
1197,14,596,4
1197,15,1646,4
1197,16,100,0.75
1197,17,6000,4
1197,18,6000,4
1197,19,6000,4
1197,20,130,4
1198,21,6000,4
1198,22,1056,4
1198,23,1646,4
1198,24,6000,4
1198,25,6000,4
1198,26,6000,4
1198,27,2836,4
1199,28,6000,4
1199,29,6000,4
1199,30,1778,4
1199,31,493,4
1199,32,3946,4
1199,33,896,4
1199,34,4293,4
1200,35,6000,4
1200,36,6000,4
1200,37,6000,4
1200,38,93,4
1200,39,1646,4
1200,40,6000,4
1200,41,100,0.75
1200,42,6000,4
1201,43,1596,4
1201,44,1646,4
1201,45,6000,4
1201,46,6000,4
1201,47,6000,4
1201,48,546,4
1201,49,237,4
1201,50,1441,4
1201,51,5897,4
1201,52,1145,4
1202,1,472,3
1202,2,4354,3
1202,3,554,3
1203,1,680,1.5
1203,2,4886,1.5
1203,3,289,2
1203,4,6000,2
1203,5,782,2
1203,6,1049,2
1203,7,6000,2
1203,8,6000,2
1204,9,3443,2
1204,10,100,0.75
1204,11,6000,2
1204,12,6000,2
1204,13,4458,2
1204,14,598,2
1205,15,3603,2
1205,16,298,2
1205,17,6000,2
1205,18,6000,2
1205,19,3848,2
1205,20,598,2
1206,21,6000,2
1206,22,6000,2
1206,23,6000,2
1206,24,2148,2
1206,25,598,2
1206,26,1033,2
1206,27,598,2
1207,28,1028,2
1207,29,404,2
1207,30,2598,2
1207,31,548,2
1207,32,1455,2
1207,33,2364,2
1208,34,100,0.75
1208,35,200,2
1208,36,306,1
1208,37,201,1
1208,38,235,2
1208,39,100,1
1209,1,158,1
1209,2,108,1
1209,3,75,1
1209,4,136,1
1209,5,474,1
1209,6,91,1
1209,7,75,1
1209,8,202,1.5
1210,9,1295,1.5
1210,10,130,0.5
1210,11,314,0.5
1210,12,75,0.5
1210,13,100,1.5
1210,14,342,1.5
1211,1,152,1.5
1211,2,407,1.5
1211,3,1124,1.5
1211,4,4936,1.5
1212,5,4074,1.5
1212,6,407,1.5
1212,7,151,1.5
1212,8,5236,1.5
1212,9,1124,1.5
1212,10,4636,1.5
1213,11,979,1.5
1213,12,4976,1.5
1213,13,919,1.5
1213,14,707,1.5
1213,15,336,1.5
1213,16,92,1.5
1214,17,4074,1.5
1214,18,407,1.5
1214,19,151,1.5
1214,20,4936,1.5
1215,21,1734,1.5
1215,22,407,1.5
1215,23,635,1.5
1215,24,342,1.5
1215,25,2696,1.5
1215,26,200,1.5
1215,27,942,1.5
1216,1,331,3
1216,2,1606,3
1216,3,78,3
1216,4,2419,3
1216,5,6000,3
1217,6,6000,3
1217,7,5512,3
1217,8,500,3
1217,9,234,3
1217,10,2923,3
1217,11,1248,3
1217,12,54,2
1217,13,297,3
1217,14,243,1
1218,1,97,1
1218,2,96,0.75
1218,3,123,0.75
1218,4,100,0.75
1218,5,100,0.75
1218,6,100,1
1218,7,100,1
1218,8,100,1.5
1218,9,100,1.5
1218,10,100,1.5
1218,11,386,1.5
1218,12,100,1.5
1219,13,363,1.5
1219,14,112,1.5
1219,15,119,1.5
1219,16,151,1.5
1219,17,186,1.5
1219,18,100,0.75
1219,19,525,4
1220,1,486,1.5
1220,2,462,1.5
1220,3,4088,1.5
1220,4,6000,1.5
1220,5,6000,1.5
1220,6,5110,1.5
1220,7,1136,1.5
1221,8,5000,1.5
1221,9,6000,1.5
1221,10,6000,1.5
1221,11,2057,1.5
1221,12,6000,1.5
1221,13,6000,1.5
1222,14,675,1.5
1222,15,1136,1.5
1222,16,3346,1.5
1222,17,686,1.5
1222,18,2586,1.5
1222,19,100,0.75
1222,20,6000,1.5
1223,21,6000,1.5
1223,22,6000,1.5
1223,23,4547,1.5
1223,24,1886,1.5
1223,25,6000,1.5
1224,26,4273,1.5
1224,27,100,0.75
1224,28,1086,1.5
1224,29,1886,1.5
1224,30,1786,1.5
1224,31,100,0.75
1225,32,6000,1.5
1225,33,6000,1.5
1225,34,6000,1.5
1225,35,6000,1.5
1225,36,269,1.5
1225,37,686,1.5
`1225-1,38,1821,1.5
`1225-1,39,100,0.75
`1225-1,40,6000,1.5
`1225-1,41,6000,1.5
`1225-1,42,660,1.5
`1225-1,43,686,1.5
`1225-1,44,6000,1.5
`1225-1,45,1463,1.5
`1225-1,46,2386,1.5
`1225-1,47,1136,1.5
`1225-1,48,1860,1.5
`1225-1,49,1038,1.5
1226,1,100,0.75
1226,2,2464,0.75
1226,3,1987,0.75
1226,4,462,0.75
1226,5,100,0.75
1226,6,6000,0.75
1226,7,6000,0.75
1226,8,6000,0.75
1226,9,3252,0.75
1227,10,512,0.75
1227,11,2187,0.75
1227,12,663,0.75
1227,13,1757,0.75
1227,14,2744,0.75
1227,15,100,0.75
1227,16,296,0.75
1228,1,145,2
1228,2,78,2
1229,1,204,1
1229,2,100,1
1229,3,105,1
1229,4,140,1
1229,5,3051,1
1229,6,2884,1
1229,7,704,1
1229,8,6000,1
1230,9,6000,1
1230,10,3848,1
1230,11,454,1
1230,12,2774,1
1230,13,204,1
1231,14,6000,1
1231,15,6000,1
1231,16,6000,1
1231,17,260,1
1231,18,704,1
1232,19,815,1
1232,20,2759,1
1232,21,1254,1
1232,22,6000,1
1232,23,6000,1
1232,24,3794,1
1232,25,857,1
1232,26,2320,1
1232,27,100,1
1234,1,1493,2
1234,2,598,2
1234,3,1418,2
1235,1,6000,2
1235,2,6000,2
1235,3,6000,2
1235,4,1580,2
1235,5,1348,2
1235,6,2413,2
1235,7,598,2
1235,8,6000,2
1235,9,6000,2
1236,10,2133,2
1236,11,6000,2
1236,12,100,0.75
1236,13,3933,2
1236,14,1048,2
1236,15,6000,2
1237,16,6000,2
1237,17,6000,2
1237,18,100,0.75
1237,19,6000,2
1237,20,148,2
1237,21,1798,2
1237,22,2548,2
1237,23,3710,2
1237,24,746,2
1238,1,6000,2
1238,2,6000,2
1238,3,6000,2
1238,4,1880,2
1238,5,1348,2
1238,6,2548,2
1238,7,598,2
1238,8,6000,2
1239,9,6000,2
1239,10,2133,2
1239,11,6000,2
1239,12,3798,2
1239,13,1048,2
1239,14,6000,2
1240,15,6000,2
1240,16,6000,2
1240,17,100,0.75
1240,18,6000,2
1240,19,148,2
1240,20,1798,2
1240,21,2548,2
1240,22,3710,2
1240,23,238,2
1241,1,5310,2
1241,2,1048,2
1241,3,6000,2
1241,4,6000,2
1241,5,3578,2
1242,6,100,0.75
1242,7,6000,2
1242,8,6000,2
1242,9,100,0.75
1242,10,4458,2
1242,11,598,2
1242,12,3468,2
1243,13,298,2
1243,14,6000,2
1243,15,6000,2
1243,16,4268,2
1243,17,598,2
1244,18,6000,2
1244,19,6000,2
1244,20,6000,2
1244,21,1983,2
1244,22,598,2
1244,23,1108,2
1244,24,598,2
1244,25,1723,2
1245,26,398,2
1245,27,6000,2
1245,28,1068,2
1245,29,553,2
1245,30,1454,2
1245,31,2642,2
1245,32,100,0.75
1245,33,196,2
1246,34,100,1
1246,35,303,1
1246,36,330,1
1247,1,1582,6
1247,2,378,6
1247,3,3311,6
1247,4,5829,6
1247,5,342,6
1247,6,281,6
1248,1,100,1
1248,2,1006,2
1248,3,102,1
1248,4,1738,2
1248,5,102,1
1248,6,722,2
1248,7,100,1
1249,8,2546,2
1249,9,102,1
1249,10,298,2
1249,11,100,1
1249,12,166,2
1249,13,102,1
1249,14,4666,2
1249,15,4098,2
1250,1,125,0.75
1250,2,762,0.75
1250,3,958,0.75
1250,4,416,0.75
1250,5,100,0.75
1250,6,462,0.75
1250,7,3112,0.75
1250,8,1223,0.75
1250,9,180,0.75
1250,10,406,0.75
1251,1,125,0.75
1251,2,762,0.75
1251,3,958,0.75
1251,4,416,0.75
1251,5,100,0.75
1251,6,462,0.75
1251,7,3112,0.75
1251,8,1157,0.75
1251,9,406,0.75
1252,1,873,4
1252,2,1813,4
1252,3,245,4
1252,4,6000,4
1252,5,2665,4
1252,6,6000,4
1252,7,2731,4
1253,8,683,4
1253,9,408,2
1253,10,569,2
1253,11,6000,4
1253,12,100,1
1253,13,4593,4
1254,14,5146,4
1254,15,2636,4
1254,16,446,4
1254,17,6000,4
1254,18,3241,4
1254,19,6000,4
1254,20,4091,4
1254,21,146,4
1255,22,6000,4
1255,23,546,4
1255,24,446,4
1255,25,100,0.75
1255,26,6000,4
1255,27,6000,4
1255,28,1506,4
1255,29,446,4
1256,30,2541,4
1256,31,146,4
1256,32,6000,4
1256,33,6000,4
1256,34,3351,4
1256,35,446,4
1256,36,6000,4
1257,37,6000,4
1257,38,6000,4
1257,39,2541,4
1257,40,446,4
1257,41,896,4
1257,42,446,4
1257,43,896,4
1257,44,293,4
1258,45,6000,4
1258,46,4545,4
1258,47,443,4
1258,48,2573,4
1258,49,110,0.75
1258,50,100,0.75
1258,51,1656,4
1259,52,475,1
1259,53,901,1
1259,54,100,1
1259,55,302,4
1259,56,100,1
1259,57,165,4
1260,1,843,4
1260,2,396,4
1260,3,3492,4
1260,4,110,0.75
1260,5,100,0.75
1260,6,1708,4
1261,7,475,1
1261,8,901,1
1261,9,100,1
1261,10,302,4
1261,11,100,1
1261,12,248,4
1262,1,6000,4
1262,2,6000,4
1262,3,1938,4
1262,4,396,4
1262,5,2573,4
1262,6,110,0.75
1262,7,100,0.75
1262,8,1706,4
1263,9,475,1
1263,10,901,1
1263,11,100,1
1263,12,252,4
1263,13,100,1
1263,14,265,4
1264,1,748,2
1264,2,1334,2
1264,3,84,3
1264,4,550,3
1264,5,500,3
1264,6,3103,3
1264,7,1767,3
1264,8,173,3
1265,1,748,2
1265,2,1334,2
1265,3,384,3
1265,4,372,3
1265,5,3107,3
1265,6,777,3
1265,7,169,3
1266,1,3484,1.5
1266,2,131,1.5
1267,1,100,1.5
1267,2,129,0.75
1267,3,100,0.75
1267,4,3439,1.5
1267,5,131,1.5
1267,6,6000,1.5
1267,7,6000,1.5
1268,8,1791,1.5
1268,9,6000,1.5
1268,10,6000,1.5
1268,11,2230,1.5
1268,12,1136,1.5
1269,13,6000,1.5
1269,14,6000,1.5
1269,15,5770,1.5
1269,16,6000,1.5
1269,17,6000,1.5
1269,18,3040,1.5
1269,19,229,1.5
1269,20,6000,1.5
1269,21,2499,1.5
1270,1,100,0.75
1270,2,4045,8
1271,3,4519,8
1271,4,6000,8
1271,5,871,8
1272,6,123,8
1272,7,6001,8
1272,8,2169,8
1272,9,1263,8
1272,10,405,8
1273,1,206,4
1273,2,529,6
1273,3,1021,6
1274,1,206,4
1274,2,529,6
1274,3,1021,6
1275,1,794,1.5
1275,2,292,1.5
1276,1,6000,2
1276,2,6000,2
1276,3,6000,2
1276,4,2107,2
1276,5,1348,2
1276,6,1378,2
1276,7,598,2
1276,8,6000,2
1276,9,6000,2
1276,10,1968,2
1277,11,6000,2
1277,12,100,0.75
1277,13,4968,2
1277,14,1048,2
1278,15,6000,2
1278,16,6000,2
1278,17,6000,2
1278,18,100,0.75
1278,19,6000,2
1279,20,148,2
1279,21,1798,2
1279,22,4745,2
1279,23,598,2
1279,24,1511,2
1279,25,3134,2
1279,26,100,1
1280,1,178,3
1280,2,178,3
1280,3,178,3
1280,4,100,1
1280,5,200,3
1281,6,3072,3
1281,7,90,3
1281,8,1783,3
1281,9,522,3
1281,10,3862,3
1281,11,522,3
1281,12,6000,3
1281,13,6000,3
1282,14,6000,3
1282,15,1764,3
1282,16,522,3
1282,17,6000,3
1282,18,6000,3
1282,19,6000,3
